image_1,image_2,angular_distance_degrees,image_1_height,image_1_width,image_2_height,image_2_width
schleich_lion_action_figure/wild_set/images/018.jpg,schleich_lion_action_figure/wild_set/images/003.jpg,49.97136530092432,3024,4032,3024,4032
welcome_sign_mushrooms/wild_set/images/048.jpg,welcome_sign_mushrooms/wild_set/images/019.jpg,44.83679984891396,3024,4032,3072,4080
garbage_truck_green_toy_s/wild_set/images/004.jpg,garbage_truck_green_toy_s/wild_set/images/014.jpg,62.05786709260725,3024,4032,3024,4032
tractor_green_showpiece/wild_set/images/048.jpg,tractor_green_showpiece/wild_set/images/014.jpg,53.10971205397667,3024,4032,3024,4032
paper_weight_flowers_showpiece/wild_set/images/045.jpg,paper_weight_flowers_showpiece/wild_set/images/035.jpg,41.504863988192454,4000,6000,3024,4032
bunny_racer/wild_set/images/058.jpg,bunny_racer/wild_set/images/072.jpg,64.10294684147256,3024,4032,3024,4032
paper_weight_flowers_showpiece/wild_set/images/017.jpg,paper_weight_flowers_showpiece/wild_set/images/014.jpg,42.019379392306035,3024,4032,3024,4032
water_gun_toy_green/wild_set/images/027.jpg,water_gun_toy_green/wild_set/images/030.jpg,77.69688424883907,3072,4080,3024,4032
weisshai_great_white_shark/wild_set/images/042.jpg,weisshai_great_white_shark/wild_set/images/004.jpg,74.25164991753343,3024,4032,3456,5184
pumpkin_showpiece_s/wild_set/images/015.jpg,pumpkin_showpiece_s/wild_set/images/005.jpg,53.8589139545846,3024,4032,3024,4032
box_multi_door_colored/wild_set/images/065.jpg,box_multi_door_colored/wild_set/images/070.jpg,59.58129858103926,3024,4032,3024,4032
paper_weight_flowers_showpiece/wild_set/images/019.jpg,paper_weight_flowers_showpiece/wild_set/images/012.jpg,56.230498479706235,3072,4080,3024,4032
water_gun_toy_yellow/wild_set/images/024.jpg,water_gun_toy_yellow/wild_set/images/008.jpg,52.810375963860345,3024,4032,3072,4080
duck_bath_yellow_s/wild_set/images/070.jpg,duck_bath_yellow_s/wild_set/images/044.jpg,47.40499450385109,3024,4032,3024,4032
schleich_lion_action_figure/wild_set/images/033.jpg,schleich_lion_action_figure/wild_set/images/026.jpg,65.32061629858264,3024,4032,3024,4032
garbage_truck_green_toy_s/wild_set/images/068.jpg,garbage_truck_green_toy_s/wild_set/images/016.jpg,57.349666492705204,3024,4032,4000,6000
schleich_african_black_rhino/wild_set/images/056.jpg,schleich_african_black_rhino/wild_set/images/044.jpg,48.63277768719597,3024,4032,4032,3024
garbage_truck_green_toy_s/wild_set/images/017.jpg,garbage_truck_green_toy_s/wild_set/images/007.jpg,65.91181969453163,3024,4032,3024,4032
fire_engine_toy_red_yellow_s/wild_set/images/012.jpg,fire_engine_toy_red_yellow_s/wild_set/images/071.jpg,44.60994347010043,4000,6000,3024,4032
schleich_lion_action_figure/wild_set/images/013.jpg,schleich_lion_action_figure/wild_set/images/023.jpg,54.2774458624358,3024,4032,3024,4032
schleich_bald_eagle/wild_set/images/056.jpg,schleich_bald_eagle/wild_set/images/068.jpg,49.59062157745268,3456,5184,3024,4032
bunny_racer/wild_set/images/008.jpg,bunny_racer/wild_set/images/028.jpg,52.71668074452643,3024,4032,3024,4032
shoe_right_gray_s/wild_set/images/007.jpg,shoe_right_gray_s/wild_set/images/057.jpg,42.31292182866142,3024,4032,3024,4032
school_bus/wild_set/images/052.jpg,school_bus/wild_set/images/015.jpg,52.45929839244955,3024,4032,3024,4032
circo_fish_toothbrush_holder_14995988/wild_set/images/008.jpg,circo_fish_toothbrush_holder_14995988/wild_set/images/019.jpg,56.99023509923203,3024,4032,3072,4080
