object_name,angular_bin,pair_quota,raw_edge_count,estimation_edge_capacity,correspondence_edge_capacity,estimation_image_count,correspondence_image_count,five_degree_pair_quotas
3d_dollhouse_sink,0-40,14,109,33,29,33,34,0;0;2;2;1;3;3;3
3d_dollhouse_sink,40-80,15,260,61,56,33,34,1;1;2;2;2;3;2;2
3d_dollhouse_sink,80-120,14,368,91,88,33,34,2;2;1;2;2;2;1;2
box_multi_door_colored,0-40,14,172,47,47,37,38,0;1;2;2;2;2;2;3
box_multi_door_colored,40-80,15,242,57,64,37,38,2;2;2;2;1;2;2;2
box_multi_door_colored,80-120,14,282,73,75,37,38,2;2;2;2;2;1;2;1
bunny_racer,0-40,14,151,37,38,35,34,0;0;1;2;2;3;3;3
bunny_racer,40-80,14,234,60,56,35,34,2;1;2;1;2;2;2;2
bunny_racer,80-120,14,247,60,57,35,34,2;2;1;2;2;2;2;1
can_kernel_corn,0-40,15,95,23,25,24,25,0;1;1;3;3;2;3;2
can_kernel_corn,40-80,14,178,41,42,24,25,2;1;2;1;2;2;2;2
can_kernel_corn,80-120,14,287,72,76,24,25,1;1;1;2;2;3;2;2
chicken_racer,0-40,14,204,47,52,24,25,0;0;1;2;3;3;3;2
chicken_racer,40-80,14,284,75,69,24,25,2;2;2;2;2;1;1;2
chicken_racer,80-120,15,280,66,65,24,25,2;2;3;2;1;2;1;2
circo_fish_toothbrush_holder_14995988,0-40,14,159,35,42,32,32,0;0;1;2;3;2;3;3
circo_fish_toothbrush_holder_14995988,40-80,14,211,55,55,32,32,2;2;2;2;2;1;1;2
circo_fish_toothbrush_holder_14995988,80-120,15,312,77,78,32,32,2;2;2;2;1;2;3;1
dino_4,0-40,14,144,34,29,40,41,0;0;1;2;2;3;3;3
dino_4,40-80,15,221,57,54,40,41,2;1;2;2;2;2;2;2
dino_4,80-120,14,258,59,56,40,41,2;2;1;2;2;2;2;1
dino_5,0-40,15,123,31,26,33,33,0;1;0;3;2;2;3;4
dino_5,40-80,14,238,59,56,33,33,2;1;2;2;2;2;1;2
dino_5,80-120,14,268,71,80,33,33,1;2;2;2;2;1;2;2
duck_bath_yellow_s,0-40,15,184,39,40,40,39,0;1;1;1;3;2;3;4
duck_bath_yellow_s,40-80,14,258,68,69,40,39,2;2;2;2;2;2;1;1
duck_bath_yellow_s,80-120,14,236,51,61,40,39,2;2;1;2;2;1;2;2
fire_engine_toy_red_yellow_s,0-40,14,139,33,32,40,40,0;0;2;2;3;2;2;3
fire_engine_toy_red_yellow_s,40-80,15,272,72,68,40,40,2;2;2;2;1;2;2;2
fire_engine_toy_red_yellow_s,80-120,14,256,66,65,40,40,2;2;2;2;2;1;2;1
garbage_truck_green_toy_s,0-40,14,152,37,34,40,39,0;1;1;1;2;3;3;3
garbage_truck_green_toy_s,40-80,14,265,66,67,40,39,2;1;2;1;2;2;2;2
garbage_truck_green_toy_s,80-120,14,268,64,59,40,39,1;2;2;2;2;1;2;2
hand_drill_cordless_blue_black,0-40,14,93,25,26,39,39,0;0;1;2;2;2;3;4
hand_drill_cordless_blue_black,40-80,14,133,32,30,39,39,1;2;1;2;2;2;2;2
hand_drill_cordless_blue_black,80-120,15,137,32,31,39,39,2;2;1;1;2;3;2;2
hut_mushrooms_showpiece,0-40,14,195,49,46,25,25,0;1;2;2;3;2;2;2
hut_mushrooms_showpiece,40-80,15,244,58,62,25,25,1;2;2;2;2;2;2;2
hut_mushrooms_showpiece,80-120,14,277,68,71,25,25,2;2;2;1;1;2;2;2
