left_idx,right_idx,x1,y1,x2,y2,similarity,k
0,0,80.000000,100.000000,120.000000,100.000000,1.0,1
0,4,80.000000,100.000000,360.000000,120.000000,0.5,2
1,1,177.777778,311.111111,213.333333,311.111111,1.0,1
1,5,177.777778,311.111111,415.238095,297.142857,0.5,2
2,2,240.000000,208.000000,272.000000,208.000000,1.0,1
2,6,240.000000,208.000000,453.333333,173.333333,0.5,2
3,3,290.909091,356.363636,320.000000,356.363636,1.0,1
3,7,290.909091,356.363636,482.962963,343.703704,0.5,2
4,4,333.333333,120.000000,360.000000,120.000000,1.0,1
4,8,333.333333,120.000000,500.645161,162.580645,0.5,2
5,5,377.142857,297.142857,415.238095,297.142857,1.0,1
5,9,377.142857,297.142857,221.538462,363.076923,0.5,2
6,6,420.000000,173.333333,453.333333,173.333333,1.0,1
6,10,420.000000,173.333333,400.000000,365.714286,0.5,2
7,7,453.333333,343.703704,482.962963,343.703704,1.0,1
7,11,453.333333,343.703704,490.666667,261.333333,0.5,2
8,8,474.838710,162.580645,500.645161,162.580645,1.0,1
8,12,474.838710,162.580645,154.482759,253.793103,0.5,2
9,9,196.923077,363.076923,221.538462,363.076923,1.0,1
9,13,196.923077,363.076923,342.222222,106.666667,0.5,2
10,10,377.142857,365.714286,400.000000,365.714286,1.0,1
10,14,377.142857,365.714286,437.647059,122.352941,0.5,2
11,11,469.333333,261.333333,490.666667,261.333333,1.0,1
11,0,469.333333,261.333333,120.000000,100.000000,0.5,2
12,12,126.896552,253.793103,154.482759,253.793103,1.0,1
12,1,126.896552,253.793103,213.333333,311.111111,0.5,2
13,13,320.000000,106.666667,342.222222,106.666667,1.0,1
13,2,320.000000,106.666667,272.000000,208.000000,0.5,2
14,14,414.117647,122.352941,437.647059,122.352941,1.0,1
14,3,414.117647,122.352941,320.000000,356.363636,0.5,2
